Códigos de Respuesta
Código	     Descripción
1083     Campo psp_CardExpDate invalido
1084     Se requiere envio de campo psp_CardExpDate
1085     Se requiere envio de campo psp_CardNumber y psp_CardExpDate
1086     Campos e-commerce de Visa incompletos
1087     Pais invalido para el método de procesamiento
1088     Error en conexión al servicio de pago
1089     Autorizacion capturada con anterioridad
1090     Transaccion recurrente no soportada por el servicio de pago
1091     Transacción inexistente en el servicio de pago
1092     Requerimiento inválido, verifique estructura de datos de envío
1093     Método de procesamiento inválido
1094     QueryCriteria inválido
1095     Consulta inválida
1096     El servicio de pago ha devuelto un código de respuesta inesperado
1097     Relacion Pais-Moneda-Producto invalida para el servicio de pago
1098     Campo psp_3dSecureAction invalido para el servicio de pago
1099     Timeout aguardando respuesta del servicio de pago
1100     Servicio en mantenimiento
1101     El browser del usuario no tiene habilitado el uso de cookies
1102     Transaccion recurrente no acepta cuotas
1103     Metodo no disponible para transacciones recurrentes
1104     3D-Secure no soportado por el servicio de pago
1105     Campos psp_VisaArg_DA_* invalidos para el servicio de pago
1106     Existe una anulacion o devolucion PENDIENTE para esta transacción
1107     Campos psp_VisaArg_EF_* invalidos para el servicio de pago
1108     Campos psp_AmexArg_AVS_* invalidos para el servicio de pago
1109     Terminal virtual temporalmente inhabilitada para realizar anulación
1110     No procesada - Rechazo en Split
1111     Devolucion parcial no permitida para el producto/servicio de pago
1112     Devolucion no permitida para el producto/servicio de pago
1113     Error de configuración del comercio - FS: Modo de operacion no definido
1114     Transaccion no requiere revision manual
1115     Conexion no habilitada
1116     Conexion en mantenimiento
1117     Captura parcial no permitida para el producto/servicio de pago
1118     Error de validacion en metodo Split. Uso de multiples productos no permitido
1119     Tipo de Impuesto no soportado
1120     Campo psp_ForceProcessingMethod no permitido



